Campaign,App asset,App asset type,Conversions,Currency code,Cost,Installs,In-app actions,View-through conv.,Conv. rate,Conv. rate (install),Conv. rate (in-app action),Installs per (1000) impressions,Video played to 25%,Video played to 50%,Video played to 75%,Video played to 100%
iOS Mexico,Viajar es más fácil y seguro con SLYNUMBER. Obtén un número real,Description,1,USD,5.19,1,0,0,10.00%,10.00%,0.00%,3.45,0,0,0,0
IOS English SEA,Use SLYNUMBER to sell online,Headline,6,USD,21.51,5,1,0,8.11%,6.76%,1.35%,2.57,0,0,0,0
IOS English SEA,Use SLYNUMBER for Travel;https://www.youtube.com/watch?v=4hLsTNLcijI,YouTube video,44,USD,221.43,35,9,0,0.07%,0.05%,0.01%,0.05,27.09%,13.30%,7.71%,5.70%
Android Video Only,Use SLYNUMBER for Selling Online;https://www.youtube.com/watch?v=RXxereD46r0,YouTube video,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English SEA,Virtual 2nd Phone Number,Headline,46,USD,206.86,36,10,0,13.11%,10.26%,2.85%,9.59,0,0,0,0
Android Video Only,Use SLYNUMBER for Dating;https://www.youtube.com/watch?v=msKwnTxDcOs,YouTube video,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Brazil,SLYNUMBER - Seu segundo número de celular;https://www.youtube.com/watch?v=Ebd7Piqlf_k,YouTube video,0,USD,2.44,0,0,0,0.00%,0.00%,0.00%,0,17.57%,12.41%,6.50%,2.68%
Android Video Only,remove me,Description,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English SEA,Use SLYNUMBER for privacy,Headline,4,USD,17.71,2,2,0,2.60%,1.30%,1.30%,0.47,0,0,0,0
IOS English India,SLYNUMBER is a virtual mobile number app that provides real phone numbers.,Description,0,USD,0.17,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
iOS Colombia venzuela,Tu privacidad es lo más importante SLYNUMBER puedes mantener tu número personal en secreto,Description,3,USD,31.69,3,0,0,3.70%,3.70%,0.00%,2.21,0,0,0,0
IOS English India,Travel Hack: Global Data + U.S. Number in ONE App ✈️🌍 | SLYNUMBER #Shorts;https://www.youtube.com/watch?v=lPcQB1Koqzg,YouTube video,0,USD,10.75,0,0,0,0.00%,0.00%,0.00%,0,92.55%,89.49%,86.61%,67.86%
IOS English EU,Get a virtual phone number that actually works on your phone.,Description,87,USD,443.85,72,15,0,14.24%,11.78%,2.45%,6.75,0,0,0,0
iOS Mexico,Utilice SLYNUMBER para vender en línea;https://www.youtube.com/watch?v=EjrSHOr-qqY,YouTube video,0,USD,5.94,0,0,0,0.00%,0.00%,0.00%,0,49.89%,35.19%,23.92%,17.65%
IOS English SEA,SLYNUMBER - Your Second Mobile Number;https://www.youtube.com/watch?v=IttwrhMctR8,YouTube video,20,USD,45.34,15,5,0,0.23%,0.17%,0.06%,0.14,38.98%,23.98%,16.39%,12.07%
iOS Video Only,Use SLYNUMBER for Social Media;https://www.youtube.com/watch?v=sipIVX0vSLk,YouTube video,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Video Only,Use SLYNUMBER for social media,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Brazil,SLYNUMBER para viagens,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Spanish,SLYNUMBER para la privacidad,Headline,42,USD,132.47,35,7,0,6.82%,5.68%,1.14%,2.06,0,0,0,0
iOS Brazil,Use SLYNUMBER para viagens;https://www.youtube.com/watch?v=J9zWYGkRwns,YouTube video,0,USD,1.01,0,0,0,0.00%,0.00%,0.00%,0,43.99%,36.78%,19.22%,15.90%
iOS Spanish,Utilice SLYNUMBER para las redes sociales;https://www.youtube.com/watch?v=XdECuygDuYk,YouTube video,42,USD,82.51,32,10,0,0.23%,0.18%,0.06%,0.19,29.62%,17.13%,9.44%,7.10%
IOS English India,Virtual Second Phone Number,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English EU,Get an ESIM that works everywhere with local rates,Description,63,USD,334,53,10,0,13.04%,10.97%,2.07%,5.42,0,0,0,0
IOS English India,Get an ESIM that works everywhere with local rates,Description,0,USD,0.59,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
IOS English India,Use SLYNUMBER for Dating;https://www.youtube.com/watch?v=ySclVIFK-Cw,YouTube video,0,USD,0.68,0,0,0,0.00%,0.00%,0.00%,0,59.41%,51.25%,38.32%,31.29%
IOS English India,Use SLYNUMBER for privacy,Headline,0,USD,0.03,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
iOS Colombia venzuela,SLYNUMBER para redes sociales,Headline,2,USD,19.94,1,1,0,3.77%,1.89%,1.89%,1.02,0,0,0,0
iOS Dominica republic,Viajar es más fácil y seguro con SLYNUMBER. Obtén un número real,Description,2,USD,12.63,1,1,0,2.35%,1.18%,1.18%,0.41,0,0,0,0
iOS Spanish,Viajar es más fácil y seguro con SLYNUMBER. Obtén un número real,Description,62,USD,157.01,47,15,0,2.55%,1.93%,0.62%,1.23,0,0,0,0
IOS English SEA,SLYNUMBER for activation,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
Android Video Only,SLYNUMBER for personal banking,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English SEA,SLYNUMBER for dating,Headline,12,USD,42.87,9,3,0,12.63%,9.47%,3.16%,5.34,0,0,0,0
iOS Video Only,Travel with No Roaming Fees,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English EU,SLYNUMBER - Your Second Mobile Number;https://www.youtube.com/watch?v=9DM-0s3JQM8,YouTube video,2,USD,0.87,1,1,0,7.14%,3.57%,3.57%,4.55,24.04%,20.19%,14.42%,8.65%
IOS English EU,Sign‑Up Hack: Real Second Number in Seconds 🚀 | SLYNUMBER #Shorts;https://www.youtube.com/watch?v=HmKdwAXW8NM,YouTube video,0,USD,3.02,0,0,0,0.00%,0.00%,0.00%,0,40.92%,22.77%,16.83%,12.87%
iOS Brazil,Use SLYNUMBER para namoro;https://www.youtube.com/watch?v=MWNBCvh70LQ,YouTube video,0,USD,0.09,0,0,0,0.00%,0.00%,0.00%,0,24.51%,13.83%,11.41%,8.74%
iOS Video Only,SLYNUMBER is the easiest way to add a second mobile number to your phone for dating app,Description,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Mexico,Utilice SLYNUMBER para cuentas financieras;https://www.youtube.com/watch?v=EUx599IhflI,YouTube video,15,USD,56.96,12,3,0,0.33%,0.26%,0.07%,0.79,53.07%,38.39%,26.86%,21.62%
IOS English India,Use SLYNUMBER for Travel;https://www.youtube.com/watch?v=waJjb7qDSiI,YouTube video,2,USD,32.71,2,0,0,0.02%,0.02%,0.00%,0.03,40.28%,26.84%,20.36%,17.24%
IOS English India,Business Telephone Number,Headline,0,USD,0.01,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
iOS Video Only,Get an ESIM that works everywhere with local rates,Description,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Mexico,activar cuentas financieras,Headline,0,USD,0.42,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
Android Video Only,Use SLYNUMBER to sell online,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Colombia venzuela,Utilice SLYNUMBER para viajar,Headline,1,USD,3.7,1,0,0,3.57%,3.57%,0.00%,1.37,0,0,0,0
iOS Dominica republic,usando SLYNUMBER. Obtén un número real para comunicarte con tus clientes,Description,0,USD,8.57,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
IOS English EU,"One App, No SIM Cards 🌍📶 | SLYNUMBER Travel Hack #Shorts;https://www.youtube.com/watch?v=kngaqEP58Hg",YouTube video,0,USD,0.66,0,0,0,0.00%,0.00%,0.00%,0,44.83%,33.33%,27.59%,20.69%
Android Video Only,SLYNUMBER for dating,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English EU,Travel with No Roaming Fees,Headline,1,USD,5.95,1,0,0,9.09%,9.09%,0.00%,1.68,0,0,0,0
iOS Colombia venzuela,Utilice SLYNUMBER para citas,Headline,0,USD,5.91,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
iOS Mexico,Obtén un segundo número y activa los servicios financieros de Estados Unidos,Description,5,USD,51.2,5,0,0,5.56%,5.56%,0.00%,3.84,0,0,0,0
iOS Mexico,Utilice SLYNUMBER para viajar;https://www.youtube.com/watch?v=eI0z4kgW_10,YouTube video,0,USD,5.65,0,0,0,0.00%,0.00%,0.00%,0,51.09%,39.46%,26.18%,21.40%
iOS Video Only,Use SLYNUMBER for Privacy;https://www.youtube.com/watch?v=ZmfWe56U5rA,YouTube video,18,USD,88.92,14,4,0,1.05%,0.82%,0.23%,1.33,33.06%,21.09%,14.44%,11.66%
iOS Video Only,Use SLYNUMBER for Privacy;https://www.youtube.com/watch?v=xoxwsWk3-2Y,YouTube video,30,USD,132.82,23,7,0,2.00%,1.53%,0.47%,4.12,59.64%,49.40%,29.83%,23.34%
IOS English SEA,Solo Female Travel Hack 🌍📶 | Global Data + Work Number in SLYNUMBER #Shorts;https://www.youtube.com/watch?v=bIBxAwpZSsA,YouTube video,11,USD,20.75,9,2,0,0.11%,0.09%,0.02%,0.11,28.53%,18.58%,12.37%,10.49%
iOS Video Only,Best Second Number App,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Mexico,Descárgalo ahora,Headline,11,USD,84.43,10,1,0,6.36%,5.78%,0.58%,1.97,0,0,0,0
IOS English India,SLYNUMBER for dating,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English SEA,Use SLYNUMBER for Social Media;https://www.youtube.com/watch?v=sipIVX0vSLk,YouTube video,13,USD,27.11,9,4,0,0.18%,0.12%,0.05%,0.23,44.45%,27.55%,19.04%,15.34%
iOS Colombia venzuela,SLYNUMBER para la privacidad,Headline,2,USD,13.11,2,0,0,3.13%,3.13%,0.00%,1.56,0,0,0,0
iOS Dominica republic,SLYNUMBER para la privacidad,Headline,0,USD,2.71,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
iOS Video Only,One Number Worldwide 🌐📲 | SLYNUMBER eSIM + 2FA Fix #Shorts;https://www.youtube.com/watch?v=33xTMddnC5c,YouTube video,0,USD,2.8,0,0,0,0.00%,0.00%,0.00%,0,45.66%,25.57%,20.55%,15.98%
iOS Brazil,um número para vender online,Headline,6,USD,15.14,5,1,0,13.04%,10.87%,2.17%,5.65,0,0,0,0
iOS Mexico,Utilice SLYNUMBER para las redes sociales;https://www.youtube.com/watch?v=XdECuygDuYk,YouTube video,0,USD,0.4,0,0,0,0.00%,0.00%,0.00%,0,22.88%,13.41%,6.90%,5.33%
iOS Colombia venzuela,Utilice SLYNUMBER para las redes sociales;https://www.youtube.com/watch?v=XdECuygDuYk,YouTube video,3,USD,7.77,3,0,0,0.14%,0.14%,0.00%,0.32,53.01%,37.90%,23.14%,18.24%
Android Video Only,placeholder -2,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English SEA,Sign‑Up Hack: Real Second Number in Seconds 🚀 | SLYNUMBER #Shorts;https://www.youtube.com/watch?v=HmKdwAXW8NM,YouTube video,0,USD,23.37,0,0,0,0.00%,0.00%,0.00%,0,43.82%,26.57%,19.63%,15.31%
IOS English SEA,Use SLYNUMBER for Dating;https://www.youtube.com/watch?v=msKwnTxDcOs,YouTube video,2,USD,2.43,2,0,0,0.30%,0.30%,0.00%,0.41,34.30%,20.44%,14.01%,11.69%
IOS English India,"One App, No SIM Cards 🌍📶 | SLYNUMBER Travel Hack #Shorts;https://www.youtube.com/watch?v=kngaqEP58Hg",YouTube video,0,USD,5.71,0,0,0,0.00%,0.00%,0.00%,0,76.27%,70.41%,67.40%,45.53%
IOS English SEA,"One App, No SIM Cards 🌍📶 | SLYNUMBER Travel Hack #Shorts;https://www.youtube.com/watch?v=kngaqEP58Hg",YouTube video,1,USD,3.5,1,0,0,0.14%,0.14%,0.00%,0.48,43.42%,35.43%,32.61%,25.91%
iOS Spanish,Utilice SLYNUMBER para citas,Headline,24,USD,92.16,18,6,0,3.19%,2.39%,0.80%,1.2,0,0,0,0
iOS Video Only,Placeholder -1,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Mexico,Utilice SLYNUMBER para citas;https://www.youtube.com/watch?v=ZMG_HcEbP28,YouTube video,0,USD,2.42,0,0,0,0.00%,0.00%,0.00%,0,66.32%,55.44%,37.82%,29.79%
IOS English SEA,SLYNUMBER is the easiest way to add a second mobile number to your phone for dating app,Description,19,USD,48.07,14,5,0,17.43%,12.84%,4.59%,6.99,0,0,0,0
iOS Dominica republic,Utilice SLYNUMBER para cuentas financieras;https://www.youtube.com/watch?v=EUx599IhflI,YouTube video,0,USD,2.1,0,0,0,0.00%,0.00%,0.00%,0,52.19%,39.71%,25.69%,21.88%
iOS Video Only,Get a virtual phone number that actually works on your phone.,Description,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Spanish,Utilice SLYNUMBER para viajar;https://www.youtube.com/watch?v=N3gB8K5xTh0,YouTube video,59,USD,220.43,52,7,0,0.19%,0.17%,0.02%,0.36,59.44%,38.93%,23.97%,17.96%
iOS Dominica republic,Descárgalo ahora,Headline,16,USD,71.41,11,5,0,7.44%,5.12%,2.33%,1.5,0,0,0,0
IOS English SEA,Use SLYNUMBER for social media,Headline,1,USD,9.21,1,0,0,1.79%,1.79%,0.00%,0.5,0,0,0,0
IOS English EU,SLYNUMBER is the easiest way to add a second mobile number to your phone for financing app,Description,4,USD,8.07,4,0,0,20.00%,20.00%,0.00%,6,0,0,0,0
IOS English EU,SLYNUMBER for dating,Headline,3,USD,9.62,2,1,0,17.65%,11.76%,5.88%,3.72,0,0,0,0
IOS English India,Travel with No Roaming Fees,Headline,0,USD,0.01,0,0,0,0,0,0,0,0,0,0,0
IOS English SEA,Travel with No Roaming Fees,Headline,5,USD,6.72,3,2,0,45.45%,27.27%,18.18%,9.77,0,0,0,0
IOS English India,Use SLYNUMBER for Social Media;https://www.youtube.com/watch?v=sipIVX0vSLk,YouTube video,0,USD,1.16,0,0,0,0.00%,0.00%,0.00%,0,73.24%,60.57%,50.42%,42.77%
iOS Colombia venzuela,Disfruta tus citas con mayor seguridad y tranquilidad usando SLYNUMBER.,Description,1,USD,11.82,1,0,0,2.17%,2.17%,0.00%,0.72,0,0,0,0
Android Video Only,Use SLYNUMBER for Social Media;https://www.youtube.com/watch?v=sipIVX0vSLk,YouTube video,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English SEA,Travel Smarter: Get Bank 2FA Anywhere ✈️📲 | SLYNUMBER #Shorts;https://www.youtube.com/watch?v=TuuOY2Z_h8Q,YouTube video,43,USD,114.6,35,8,0,0.07%,0.06%,0.01%,0.34,76.77%,61.70%,57.49%,42.29%
iOS Brazil,Use SLYNUMBER para namoro;https://www.youtube.com/watch?v=9OkSCYhoxSM,YouTube video,0,USD,0.27,0,0,0,0.00%,0.00%,0.00%,0,25.29%,10.89%,7.00%,4.47%
iOS Spanish,Utilice SLYNUMBER para cuentas financieras;https://www.youtube.com/watch?v=EUx599IhflI,YouTube video,205,USD,478.41,162,43,0,0.42%,0.33%,0.09%,0.51,39.43%,23.14%,13.07%,9.64%
iOS Dominica republic,Utilice SLYNUMBER para la privacidad;https://www.youtube.com/watch?v=_T7S1P9qjPQ,YouTube video,1,USD,6.84,1,0,0,0.07%,0.07%,0.00%,0.29,72.23%,59.61%,39.91%,34.52%
iOS Spanish,Utilice SLYNUMBER para viajar;https://www.youtube.com/watch?v=eI0z4kgW_10,YouTube video,253,USD,538.07,206,47,0,0.12%,0.10%,0.02%,0.38,64.98%,51.96%,36.92%,31.38%
iOS Video Only,SLYNUMBER is the easiest way to add a second mobile number to your phone for dating,Description,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English EU,Use SLYNUMBER for Privacy;https://www.youtube.com/watch?v=ZmfWe56U5rA,YouTube video,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English India,SLYNUMBER is the easiest way to add a second mobile number to your phone for dating,Description,0,USD,0.31,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
IOS English SEA,Business Telephone Number,Headline,0,USD,2.39,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
iOS Video Only,Virtual 2nd Phone Number,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English India,Sign‑Up Hack: Real Second Number in Seconds 🚀 | SLYNUMBER #Shorts;https://www.youtube.com/watch?v=HmKdwAXW8NM,YouTube video,0,USD,3.37,0,0,0,0.00%,0.00%,0.00%,0,51.76%,27.57%,18.40%,14.89%
IOS English EU,Use SLYNUMBER for Dating;https://www.youtube.com/watch?v=msKwnTxDcOs,YouTube video,0,USD,2.62,0,0,0,0.00%,0.00%,0.00%,0,36.24%,27.58%,8.66%,5.23%
iOS Video Only,Placeholder -2,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
Android Video Only,Use SLYNUMBER for Financial Accounts;https://www.youtube.com/watch?v=YDQRc-oFT98,YouTube video,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
Android Video Only,placeholder -1,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English EU,Turn Off Work After Hours 📵 | SLYNUMBER Saves Your Sanity #shorts;https://www.youtube.com/watch?v=M66y_k57ryc,YouTube video,1,USD,1.38,1,0,0,0.56%,0.56%,0.00%,3.38,78.08%,53.85%,26.92%,13.46%
IOS English India,SLYNUMBER for activation,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English EU,Use SLYNUMBER for travel,Headline,6,USD,21.25,4,2,0,16.67%,11.11%,5.56%,4.24,0,0,0,0
IOS English SEA,Use SLYNUMBER for travel,Headline,2,USD,9.8,1,1,0,0.93%,0.47%,0.47%,0.24,0,0,0,0
iOS Brazil,SLYNUMBER para privacidade,Headline,0,USD,6.06,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
iOS Colombia venzuela,Utilice SLYNUMBER para vender en línea;https://www.youtube.com/watch?v=EjrSHOr-qqY,YouTube video,5,USD,9.65,5,0,0,0.41%,0.41%,0.00%,0.92,60.35%,41.36%,27.48%,19.80%
iOS Dominica republic,activar cuentas financieras,Headline,0,USD,0.86,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
Android Video Only,Best second phone number app,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Mexico,Utilice SLYNUMBER para la privacidad;https://www.youtube.com/watch?v=_T7S1P9qjPQ,YouTube video,1,USD,1.64,1,0,0,0.70%,0.70%,0.00%,1.9,52.75%,40.68%,27.54%,23.09%
iOS Mexico,Utilice SLYNUMBER para citas;https://www.youtube.com/watch?v=kT2L4Ohr_jY,YouTube video,0,USD,2.03,0,0,0,0.00%,0.00%,0.00%,0,52.48%,38.20%,23.91%,18.63%
IOS English SEA,Use SLYNUMBER for Travel;https://www.youtube.com/watch?v=waJjb7qDSiI,YouTube video,130,USD,393.06,100,30,0,0.12%,0.09%,0.03%,0.14,42.40%,27.47%,13.57%,10.04%
iOS Video Only,Use SLYNUMBER for Travel;https://www.youtube.com/watch?v=waJjb7qDSiI,YouTube video,69,USD,374.07,54,15,0,0.67%,0.53%,0.15%,1.11,53.51%,28.03%,17.41%,14.69%
iOS Spanish,Utilice SLYNUMBER para vender en línea;https://www.youtube.com/watch?v=cVHrKxd71Hw,YouTube video,455,USD,1359.93,353,102,0,0.13%,0.10%,0.03%,0.11,29.26%,15.08%,9.18%,6.82%
iOS Dominica republic,Utilice SLYNUMBER para cuentas financieras;https://www.youtube.com/watch?v=MoO7GXr4KP4,YouTube video,1,USD,6.15,1,0,0,0.06%,0.06%,0.00%,0.14,51.26%,37.66%,23.97%,20.52%
IOS English EU,Use SLYNUMBER for Financial Accounts;https://www.youtube.com/watch?v=YDQRc-oFT98,YouTube video,95,USD,474.31,73,22,0,0.76%,0.58%,0.18%,0.79,34.34%,22.00%,10.97%,7.63%
IOS English SEA,SLYNUMBER - Your Second Mobile Number;https://www.youtube.com/watch?v=9DM-0s3JQM8,YouTube video,2,USD,8.27,1,1,0,0.08%,0.04%,0.04%,0.11,37.29%,29.75%,17.97%,4.16%
Android Video Only,Use SLYNUMBER for Privacy;https://www.youtube.com/watch?v=xoxwsWk3-2Y,YouTube video,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English India,SLYNUMBER is the easiest way to add a second mobile number to your phone for dating app,Description,0,USD,0,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
iOS Brazil,Use SLYNUMBER para contas financeiras;https://www.youtube.com/watch?v=t4Y-Bbqt8L8,YouTube video,0,USD,0.04,0,0,0,0.00%,0.00%,0.00%,0,54.35%,43.48%,28.26%,21.74%
