Campaign,Campaign state,Campaign type,Country/Territory (User location),Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conversions,Cost / conv.,Conv. rate
IOS English EU,Enabled,App,Luxembourg,10,173,5.78%,USD,0.33,3.31,1,3.31,4.76%
IOS English EU,Enabled,App,United Arab Emirates,10,141,7.09%,USD,0.88,8.75,0,0,0.00%
Performance Max,Enabled,Performance Max,Bosnia and Herzegovina,9,87,10.34%,USD,0.89,7.99,0,0,0.00%
Performance Max,Enabled,Performance Max,Finland,9,260,3.46%,USD,0.55,4.99,0,0,0.00%
Performance Max,Enabled,Performance Max,Georgia,9,127,7.09%,USD,0.63,5.67,0,0,0.00%
Performance Max,Enabled,Performance Max,Japan,9,124,7.26%,USD,1.14,10.28,0,0,0.00%
Performance Max,Enabled,Performance Max,Venezuela,9,136,6.62%,USD,1.38,12.4,0,0,0.00%
IOS English EU,Enabled,App,Greece,9,112,8.04%,USD,0.84,7.59,4,1.9,44.44%
IOS English EU,Enabled,App,Tunisia,9,74,12.16%,USD,0.75,6.77,2,3.39,22.22%
Competitive keywords,Enabled,Search,Bangladesh,8,64,12.50%,USD,0.84,6.75,0,0,0.00%
Competitive keywords,Enabled,Search,Canada,8,134,5.97%,USD,1.96,15.7,0,0,0.00%
Performance Max,Enabled,Performance Max,Greece,8,102,7.84%,USD,0.97,7.73,0,0,0.00%
Performance Max,Enabled,Performance Max,Sri Lanka,8,107,7.48%,USD,1.56,12.5,0,0,0.00%
Performance Max,Enabled,Performance Max,Uzbekistan,8,62,12.90%,USD,1.13,9.07,0,0,0.00%
Performance Max,Enabled,Performance Max,Argentina,7,307,2.28%,USD,1.74,12.15,5,2.43,71.43%
Performance Max,Enabled,Performance Max,Jordan,7,57,12.28%,USD,1.44,10.11,0,0,0.00%
IOS English EU,Enabled,App,Cyprus,7,217,3.23%,USD,0.66,4.63,2,2.32,28.57%
IOS English EU,Enabled,App,Kenya,7,51,13.73%,USD,0.76,5.31,1,5.31,14.29%
Performance Max,Enabled,Performance Max,Azerbaijan,6,66,9.09%,USD,0.79,4.73,0,0,0.00%
Performance Max,Enabled,Performance Max,Democratic Republic of the Congo,6,39,15.38%,USD,0.53,3.16,0,0,0.00%
Performance Max,Enabled,Performance Max,Nepal,6,53,11.32%,USD,1.79,10.71,0,0,0.00%
Performance Max,Enabled,Performance Max,Nicaragua,6,76,7.89%,USD,1.01,6.03,0,0,0.00%
Performance Max,Enabled,Performance Max,Portugal,6,111,5.41%,USD,2.36,14.15,0,0,0.00%
Performance Max,Enabled,Performance Max,Singapore,6,206,2.91%,USD,1.13,6.79,0,0,0.00%
Performance Max,Enabled,Performance Max,Sweden,6,89,6.74%,USD,1.25,7.51,0,0,0.00%
IOS English EU,Enabled,App,Azerbaijan,6,56,10.71%,USD,0.52,3.13,0,0,0.00%
IOS English EU,Enabled,App,Lebanon,6,34,17.65%,USD,0.65,3.87,0,0,0.00%
iOS Video Only,Enabled,App,Trinidad and Tobago,5,731,0.68%,USD,0.12,0.62,2,0.31,1.06%
Competitive keywords,Enabled,Search,India,5,91,5.49%,USD,3.72,18.6,0,0,0.00%
Performance Max,Enabled,Performance Max,Estonia,5,102,4.90%,USD,1.64,8.21,0,0,0.00%
Performance Max,Enabled,Performance Max,Latvia,5,73,6.85%,USD,2.52,12.62,0,0,0.00%
Performance Max,Enabled,Performance Max,Libya,5,43,11.63%,USD,0.51,2.56,0,0,0.00%
Performance Max,Enabled,Performance Max,Lithuania,5,87,5.75%,USD,1.94,9.68,0,0,0.00%
Performance Max,Enabled,Performance Max,Republic of the Congo,5,20,25.00%,USD,0.22,1.11,0,0,0.00%
Performance Max,Enabled,Performance Max,South Korea,5,107,4.67%,USD,1.22,6.12,0,0,0.00%
Performance Max,Enabled,Performance Max,Tunisia,5,64,7.81%,USD,0.74,3.7,0,0,0.00%
IOS English EU,Enabled,App,Saudi Arabia,5,83,6.02%,USD,0.93,4.64,0,0,0.00%
IOS English EU,Enabled,App,South Africa,5,82,6.10%,USD,0.89,4.46,2,2.23,40.00%
iOS Video Only,Enabled,App,Israel,4,323,1.24%,USD,0.12,0.48,0,0,0.00%
Competitive keywords,Enabled,Search,Dominican Republic,4,18,22.22%,USD,2.23,8.93,0,0,0.00%
Competitive keywords,Enabled,Search,Thailand,4,18,22.22%,USD,1.42,5.67,0,0,0.00%
Performance Max,Enabled,Performance Max,Afghanistan,4,83,4.82%,USD,0.14,0.56,0,0,0.00%
Performance Max,Enabled,Performance Max,Andorra,4,47,8.51%,USD,1.26,5.03,0,0,0.00%
Performance Max,Enabled,Performance Max,Ethiopia,4,42,9.52%,USD,0.26,1.02,0,0,0.00%
Performance Max,Enabled,Performance Max,Laos,4,47,8.51%,USD,1.35,5.42,0,0,0.00%
Performance Max,Enabled,Performance Max,Madagascar,4,43,9.30%,USD,1.2,4.81,0,0,0.00%
Performance Max,Enabled,Performance Max,Mongolia,4,49,8.16%,USD,0.43,1.71,0,0,0.00%
Performance Max,Enabled,Performance Max,Montenegro,4,34,11.76%,USD,1.02,4.06,0,0,0.00%
Performance Max,Enabled,Performance Max,Panama,4,60,6.67%,USD,0.78,3.12,0,0,0.00%
Performance Max,Enabled,Performance Max,Somalia,4,40,10.00%,USD,0.64,2.57,0,0,0.00%
Performance Max,Enabled,Performance Max,Taiwan,4,82,4.88%,USD,2.11,8.42,1,8.42,25.00%
Performance Max,Enabled,Performance Max,Uganda,4,61,6.56%,USD,1.41,5.65,0,0,0.00%
IOS English EU,Enabled,App,Brazil,4,94,4.26%,USD,0.76,3.03,1,3.03,25.00%
IOS English EU,Enabled,App,Jamaica,4,54,7.41%,USD,0.5,2.01,0,0,0.00%
IOS English EU,Enabled,App,Kazakhstan,4,42,9.52%,USD,0.72,2.87,0,0,0.00%
IOS English EU,Enabled,App,Kosovo,4,22,18.18%,USD,0.56,2.23,1,2.23,25.00%
IOS English EU,Enabled,App,Singapore,4,104,3.85%,USD,0.56,2.23,1,2.23,25.00%
iOS Video Only,Enabled,App,Bolivia,3,484,0.62%,USD,0.04,0.12,0,0,0.00%
Competitive keywords,Enabled,Search,China,3,26,11.54%,USD,3.56,10.69,0,0,0.00%
Competitive keywords,Enabled,Search,Ghana,3,15,20.00%,USD,3,8.99,0,0,0.00%
Competitive keywords,Enabled,Search,Kenya,3,24,12.50%,USD,0.74,2.23,0,0,0.00%
Performance Max,Enabled,Performance Max,Albania,3,78,3.85%,USD,0.76,2.27,0,0,0.00%
Performance Max,Enabled,Performance Max,Angola,3,22,13.64%,USD,0.8,2.4,0,0,0.00%
Performance Max,Enabled,Performance Max,Bolivia,3,57,5.26%,USD,1.44,4.31,0,0,0.00%
Performance Max,Enabled,Performance Max,Chile,3,33,9.09%,USD,1.71,5.12,0,0,0.00%
Performance Max,Enabled,Performance Max,Haiti,3,25,12.00%,USD,0.36,1.09,0,0,0.00%
Performance Max,Enabled,Performance Max,Malta,3,27,11.11%,USD,0.52,1.56,0,0,0.00%
Performance Max,Enabled,Performance Max,Moldova,3,68,4.41%,USD,1.69,5.07,0,0,0.00%
Performance Max,Enabled,Performance Max,Qatar,3,34,8.82%,USD,0.98,2.94,0,0,0.00%
Performance Max,Enabled,Performance Max,Suriname,3,20,15.00%,USD,1.06,3.19,0,0,0.00%
IOS English EU,Enabled,App,Australia,3,124,2.42%,USD,0.94,2.83,1,2.83,5.88%
IOS English EU,Enabled,App,Bangladesh,3,60,5.00%,USD,0.33,0.99,0,0,0.00%
IOS English EU,Enabled,App,Lithuania,3,51,5.88%,USD,1.19,3.58,1,3.58,33.33%
IOS English EU,Enabled,App,Malaysia,3,48,6.25%,USD,0.52,1.57,1,1.57,33.33%
IOS English EU,Enabled,App,Morocco,3,44,6.82%,USD,0.21,0.64,0,0,0.00%
IOS English EU,Enabled,App,South Korea,3,38,7.89%,USD,0.88,2.64,1,2.64,33.33%
IOS English EU,Enabled,App,United States,3,67,4.48%,USD,0.95,2.84,3,0.95,100.00%
Competitive keywords,Enabled,Search,Argentina,2,69,2.90%,USD,1.44,2.88,0,0,0.00%
Competitive keywords,Enabled,Search,Armenia,2,4,50.00%,USD,5.96,11.92,0,0,0.00%
Competitive keywords,Enabled,Search,Cambodia,2,17,11.76%,USD,0.91,1.82,0,0,0.00%
Competitive keywords,Enabled,Search,Colombia,2,11,18.18%,USD,2.11,4.22,1,4.22,50.00%
Competitive keywords,Enabled,Search,Malaysia,2,12,16.67%,USD,0.44,0.87,0,0,0.00%
Competitive keywords,Enabled,Search,Morocco,2,9,22.22%,USD,2.69,5.38,0,0,0.00%
Competitive keywords,Enabled,Search,Netherlands,2,8,25.00%,USD,0.91,1.82,0,0,0.00%
Competitive keywords,Enabled,Search,Puerto Rico,2,6,33.33%,USD,1.1,2.19,0,0,0.00%
Competitive keywords,Enabled,Search,Qatar,2,5,40.00%,USD,0.65,1.29,0,0,0.00%
Competitive keywords,Enabled,Search,Saudi Arabia,2,9,22.22%,USD,2.15,4.29,0,0,0.00%
Competitive keywords,Enabled,Search,The Bahamas,2,14,14.29%,USD,8.36,16.71,0,0,0.00%
Competitive keywords,Enabled,Search,United Kingdom,2,13,15.38%,USD,6.98,13.96,0,0,0.00%
Performance Max,Enabled,Performance Max,Chad,2,8,25.00%,USD,0.15,0.31,0,0,0.00%
Performance Max,Enabled,Performance Max,Cuba,2,20,10.00%,USD,0.09,0.18,0,0,0.00%
Performance Max,Enabled,Performance Max,Curacao,2,13,15.38%,USD,2.38,4.75,0,0,0.00%
Performance Max,Enabled,Performance Max,French Polynesia,2,22,9.09%,USD,0.42,0.85,0,0,0.00%
Performance Max,Enabled,Performance Max,Guadeloupe,2,19,10.53%,USD,0.79,1.58,0,0,0.00%
Performance Max,Enabled,Performance Max,Guatemala,2,37,5.41%,USD,1.54,3.07,0,0,0.00%
Performance Max,Enabled,Performance Max,Honduras,2,26,7.69%,USD,2.04,4.07,0,0,0.00%
Performance Max,Enabled,Performance Max,Iran,2,30,6.67%,USD,0.74,1.48,0,0,0.00%
Performance Max,Enabled,Performance Max,Kuwait,2,41,4.88%,USD,1.56,3.12,0,0,0.00%
Performance Max,Enabled,Performance Max,New Caledonia,2,18,11.11%,USD,0.54,1.08,0,0,0.00%
Performance Max,Enabled,Performance Max,Palestine,2,24,8.33%,USD,1.15,2.3,0,0,0.00%
Performance Max,Enabled,Performance Max,Syria,2,20,10.00%,USD,0.74,1.47,0,0,0.00%
Performance Max,Enabled,Performance Max,The Bahamas,2,66,3.03%,USD,0.28,0.55,0,0,0.00%
Performance Max,Enabled,Performance Max,Turks and Caicos Islands,2,9,22.22%,USD,0.38,0.76,0,0,0.00%
Performance Max,Enabled,Performance Max,Uruguay,2,22,9.09%,USD,0.95,1.89,0,0,0.00%
Performance Max,Enabled,Performance Max,Western Sahara,2,5,40.00%,USD,0.06,0.13,0,0,0.00%
IOS English EU,Enabled,App,Albania,2,47,4.26%,USD,0.36,0.71,0,0,0.00%
IOS English EU,Enabled,App,Belarus,2,13,15.38%,USD,0.93,1.86,0,0,0.00%
IOS English EU,Enabled,App,Canada,2,56,3.57%,USD,1.62,3.25,0,0,0.00%
IOS English EU,Enabled,App,Estonia,2,52,3.85%,USD,0.55,1.1,0,0,0.00%
IOS English EU,Enabled,App,Ethiopia,2,7,28.57%,USD,0.86,1.71,2,0.86,100.00%
IOS English EU,Enabled,App,Japan,2,22,9.09%,USD,0.76,1.51,0,0,0.00%
IOS English EU,Enabled,App,Jordan,2,21,9.52%,USD,1.33,2.66,1,2.66,50.00%
IOS English EU,Enabled,App,Kuwait,2,12,16.67%,USD,0.8,1.61,0,0,0.00%
IOS English EU,Enabled,App,Malta,2,9,22.22%,USD,1.11,2.21,0,0,0.00%
IOS English EU,Enabled,App,Mongolia,2,7,28.57%,USD,0.8,1.6,0,0,0.00%
IOS English EU,Enabled,App,Myanmar (Burma),2,8,25.00%,USD,0.29,0.57,0,0,0.00%
IOS English EU,Enabled,App,Nepal,2,25,8.00%,USD,0.31,0.62,0,0,0.00%
IOS English EU,Enabled,App,North Macedonia,2,26,7.69%,USD,0.74,1.48,1,1.48,50.00%
IOS English EU,Enabled,App,Portugal,2,42,4.76%,USD,0.79,1.58,0,0,0.00%
IOS English EU,Enabled,App,Qatar,2,27,7.41%,USD,0.82,1.63,0,0,0.00%
IOS English EU,Enabled,App,Senegal,2,32,6.25%,USD,0.78,1.55,0,0,0.00%
IOS English EU,Enabled,App,Sri Lanka,2,26,7.69%,USD,0.42,0.83,0,0,0.00%
IOS English EU,Enabled,App,Suriname,2,4,50.00%,USD,0.65,1.29,1,1.29,50.00%
IOS English EU,Enabled,App,Taiwan,2,17,11.76%,USD,0.75,1.49,0,0,0.00%
IOS English EU,Enabled,App,Thailand,2,48,4.17%,USD,0.66,1.32,0,0,0.00%
IOS English EU,Enabled,App,Uzbekistan,2,14,14.29%,USD,0.48,0.97,0,0,0.00%
IOS English EU,Enabled,App,Vietnam,2,40,5.00%,USD,0.56,1.11,0,0,0.00%
IOS English EU,Enabled,App,Zimbabwe,2,14,14.29%,USD,0.42,0.84,1,0.84,50.00%
iOS Video Only,Enabled,App,Australia,1,16,6.25%,USD,0.29,0.29,0,0,0.00%
iOS Video Only,Enabled,App,Colombia,1,65,1.54%,USD,0.03,0.03,0,0,0.00%
iOS Video Only,Enabled,App,Saudi Arabia,1,392,0.26%,USD,1.01,1.01,0,0,0.00%
iOS Video Only,Enabled,App,Venezuela,1,23,4.35%,USD,0.02,0.02,0,0,0.00%
Competitive keywords,Enabled,Search,Azerbaijan,1,2,50.00%,USD,0.55,0.55,0,0,0.00%
Competitive keywords,Enabled,Search,Barbados,1,1,100.00%,USD,5.27,5.27,0,0,0.00%
Competitive keywords,Enabled,Search,Brazil,1,48,2.08%,USD,1.27,1.27,0,0,0.00%
Competitive keywords,Enabled,Search,Bulgaria,1,5,20.00%,USD,1,1,0,0,0.00%
Competitive keywords,Enabled,Search,Cameroon,1,27,3.70%,USD,1.16,1.16,0,0,0.00%
Competitive keywords,Enabled,Search,Cote d'Ivoire,1,3,33.33%,USD,0.47,0.47,0,0,0.00%
Competitive keywords,Enabled,Search,Denmark,1,7,14.29%,USD,17.22,17.22,0,0,0.00%
Competitive keywords,Enabled,Search,Egypt,1,16,6.25%,USD,3.69,3.69,0,0,0.00%
Competitive keywords,Enabled,Search,France,1,13,7.69%,USD,1.24,1.24,0,0,0.00%
Competitive keywords,Enabled,Search,Germany,1,25,4.00%,USD,1.09,1.09,0,0,0.00%
Competitive keywords,Enabled,Search,Guyana,1,10,10.00%,USD,18.99,18.99,0,0,0.00%
Competitive keywords,Enabled,Search,Indonesia,1,16,6.25%,USD,5.1,5.1,0,0,0.00%
Competitive keywords,Enabled,Search,Italy,1,14,7.14%,USD,0.78,0.78,0,0,0.00%
Competitive keywords,Enabled,Search,Jordan,1,3,33.33%,USD,0.28,0.28,0,0,0.00%
Competitive keywords,Enabled,Search,Laos,1,5,20.00%,USD,0.35,0.35,0,0,0.00%
Competitive keywords,Enabled,Search,Micronesia,1,2,50.00%,USD,1.67,1.67,0,0,0.00%
Competitive keywords,Enabled,Search,Philippines,1,49,2.04%,USD,4.33,4.33,0,0,0.00%
Competitive keywords,Enabled,Search,Spain,1,19,5.26%,USD,6.27,6.27,0,0,0.00%
Competitive keywords,Enabled,Search,Sri Lanka,1,7,14.29%,USD,5.14,5.14,0,0,0.00%
Competitive keywords,Enabled,Search,Sweden,1,4,25.00%,USD,0.79,0.79,0,0,0.00%
Competitive keywords,Enabled,Search,United Arab Emirates,1,10,10.00%,USD,0.4,0.4,0,0,0.00%
Competitive keywords,Enabled,Search,Vietnam,1,10,10.00%,USD,0.35,0.35,0,0,0.00%
Performance Max,Enabled,Performance Max,Antigua and Barbuda,1,12,8.33%,USD,0.35,0.35,0,0,0.00%
Performance Max,Enabled,Performance Max,Bahrain,1,24,4.17%,USD,0.37,0.37,0,0,0.00%
Performance Max,Enabled,Performance Max,Belarus,1,51,1.96%,USD,0.3,0.3,0,0,0.00%
Performance Max,Enabled,Performance Max,Belize,1,16,6.25%,USD,2.99,2.99,0,0,0.00%
Performance Max,Enabled,Performance Max,Cayman Islands,1,19,5.26%,USD,4.78,4.78,0,0,0.00%
Performance Max,Enabled,Performance Max,Equatorial Guinea,1,1,100.00%,USD,1.39,1.39,0,0,0.00%
Performance Max,Enabled,Performance Max,Guam,1,8,12.50%,USD,0.49,0.49,0,0,0.00%
Performance Max,Enabled,Performance Max,Guinea,1,16,6.25%,USD,0.41,0.41,0,0,0.00%
Performance Max,Enabled,Performance Max,Guyana,1,28,3.57%,USD,0.48,0.48,0,0,0.00%
Performance Max,Enabled,Performance Max,Kazakhstan,1,50,2.00%,USD,0.23,0.23,0,0,0.00%
Performance Max,Enabled,Performance Max,Kyrgyzstan,1,29,3.45%,USD,0.74,0.74,0,0,0.00%
Performance Max,Enabled,Performance Max,Mauritius,1,17,5.88%,USD,0.47,0.47,0,0,0.00%
Performance Max,Enabled,Performance Max,North Macedonia,1,62,1.61%,USD,0.4,0.4,0,0,0.00%
Performance Max,Enabled,Performance Max,Oman,1,39,2.56%,USD,0.84,0.84,2,0.42,200.00%
Performance Max,Enabled,Performance Max,Palau,1,7,14.29%,USD,1.94,1.94,0,0,0.00%
Performance Max,Enabled,Performance Max,Paraguay,1,20,5.00%,USD,0.26,0.26,0,0,0.00%
Performance Max,Enabled,Performance Max,Puerto Rico,1,32,3.13%,USD,0.4,0.4,0,0,0.00%
Performance Max,Enabled,Performance Max,Reunion,1,31,3.23%,USD,2.51,2.51,0,0,0.00%
Performance Max,Enabled,Performance Max,Saint Kitts and Nevis,1,5,20.00%,USD,3.14,3.14,0,0,0.00%
Performance Max,Enabled,Performance Max,Sierra Leone,1,18,5.56%,USD,0.18,0.18,0,0,0.00%
Performance Max,Enabled,Performance Max,Sint Maarten,1,2,50.00%,USD,8.04,8.04,0,0,0.00%
Performance Max,Enabled,Performance Max,Togo,1,32,3.13%,USD,0.36,0.36,0,0,0.00%
Performance Max,Enabled,Performance Max,Turkmenistan,1,8,12.50%,USD,1.37,1.37,0,0,0.00%
Performance Max,Enabled,Performance Max,Zambia,1,19,5.26%,USD,0.12,0.12,0,0,0.00%
Performance Max,Enabled,Performance Max,Zimbabwe,1,19,5.26%,USD,0.7,0.7,0,0,0.00%
IOS English EU,Enabled,App,Afghanistan,1,11,9.09%,USD,0.29,0.29,0,0,0.00%
IOS English EU,Enabled,App,Argentina,1,45,2.22%,USD,0.49,0.49,0,0,0.00%
IOS English EU,Enabled,App,Bahrain,1,5,20.00%,USD,1.06,1.06,0,0,0.00%
IOS English EU,Enabled,App,Cambodia,1,32,3.13%,USD,0.21,0.21,0,0,0.00%
IOS English EU,Enabled,App,Cameroon,1,14,7.14%,USD,0.52,0.52,0,0,0.00%
IOS English EU,Enabled,App,Colombia,1,19,5.26%,USD,0.8,0.8,0,0,0.00%
IOS English EU,Enabled,App,Dominican Republic,1,23,4.35%,USD,0.51,0.51,0,0,0.00%
IOS English EU,Enabled,App,Ecuador,1,16,6.25%,USD,0.82,0.82,2,0.41,200.00%
IOS English EU,Enabled,App,Israel,1,22,4.55%,USD,0.76,0.76,0,0,0.00%
IOS English EU,Enabled,App,Latvia,1,17,5.88%,USD,0.73,0.73,0,0,0.00%
IOS English EU,Enabled,App,Mauritius,1,10,10.00%,USD,0.68,0.68,0,0,0.00%
